Cuenca;Cuerpo de;Codigo;Fase;An/O INICI;An/O FINAL;Responsabl;Clase_ Ind;Clase_ I_1;Clasificac;geometry;Lo CRTM05;La CRTM05;Sitio de M;Provincia;Canton;Distrito;BMWP-Estac;Interpreta;Holandes-E;Interpre_1;BMWP-Lluvi;Interpre_2;Holandes-L;Interpre_3;BMWP-Seca;Interpre_4;Holandes-S;Interpre_5;BMWP-Seca-;Interpre_6;Holandes_1;Interpre_7;ESTADO ACT;longitude;latitude;geometry
Abangares;Gongolona;PN-ABA-01;III;2017;2018;UCR;2;1;2;c(400868,82, 1140315,75);400869.000000000000000;1140316.000000000000000;Gongolona;Guanacaste;Abangares;San Juan;158;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;162;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;230;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;198;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;MONITOREO ACTIVO;-84.905;10.311;c(-84.905, 10.311)
Abangares;Abangares;PN-ABA-02;III;2017;2018;UCR;2;1;2;c(398847,55, 1137200,72);398848.000000000000000;1137201.000000000000000;Sierra;Guanacaste;Abangares;Sierra;141;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;193;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;197;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;221;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;MONITOREO ACTIVO;-84.923;10.283;c(-84.923, 10.283)
Abangares;Abangares;PN-ABA-03;III;2017;2018;UCR;2;1;2;c(393838,02, 1136985,83);393838.000000000000000;1136986.000000000000000;Paso Ancho;Guanacaste;Abangares;Las Juntas;108;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;125;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;165;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;177;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;MONITOREO ACTIVO;-84.969;10.281;c(-84.969, 10.281)
Abangares;Abangares;PN-ABA-04;III;2017;2018;UCR;2;1;2;c(390196,46, 1135715,47);390196.000000000000000;1135715.000000000000000;Limonal Viejo;Guanacaste;Abangares;Las Juntas;172;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;166;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;173;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;150;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;SUSPENDIDO EL MONITOREO;-85.002;10.269;c(-85.002, 10.269)
Abangares;Abangares;PN-ABA-05;III;2017;2018;UCR;2;1;2;c(386965,28, 1130793,43);386965.000000000000000;1130793.000000000000000;Las Huacas;Guanacaste;Abangares;Las Juntas;145;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;144;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;168;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;201;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;MONITOREO ACTIVO;-85.032;10.225;c(-85.032, 10.225)
Abangares;Abangares;PN-ABA-06;III;2017;2018;UCR;2;1;2;c(386110,34, 1126878,02);386110.000000000000000;1126878.000000000000000;Higuerilla;Guanacaste;Abangares;Colorado;169;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;115;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;198;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;162;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;SUSPENDIDO EL MONITOREO;-85.039;10.189;c(-85.039, 10.189)
Abangares;Abangares;PN-ABA-07;III;2017;2018;UCR;2;4;4;c(386127,09, 1123542,79);386127.000000000000000;1123543.000000000000000;Abangaritos;Puntarenas;Puntarenas;Manzanillo;33;Aguas de calidad mala, muy contaminadas;4;Contaminacion incipiente;81;Aguas de calidad regular, contaminacion moderada;4;Contaminacion incipiente;126;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;163;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;MONITOREO ACTIVO;-85.039;10.159;c(-85.039, 10.159)
Bananito;Rio Vizcaya;C-BAN-01;II;2016;2017;UCR;2;2;2;c(606552,141307919, 1095138,57113869);606552.000000000000000;1095139.000000000000000;Las Brisas de Kent;Limon;Limon;Matama;87;Aguas de calidad regular, contaminacion moderada;5;Contaminacion incipiente;96;Aguas de calidad regular, contaminacion moderada;4;Contaminacion incipiente;155;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;120;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;MONITOREO ACTIVO;-83.028;9.903;c(-83.028, 9.903)
Bananito;Rio Bananito;C-BAN-02;II;2016;2017;UCR;2;2;2;c(608827,685707717, 1092270,73154342);608828.000000000000000;1092271.000000000000000;Aguas arriba del puente ferroviario en Bananito Sur;Limon;Limon;Matama;69;Aguas de calidad regular, contaminacion moderada;5;Contaminacion incipiente;135;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;111;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;130;Aguas de calidad excelente, no contaminadas;4;Contaminacion incipiente;MONITOREO ACTIVO;-83.008;9.877;c(-83.008, 9.877)
Bananito;Rio Bananito;C-BAN-03;II;2016;2017;UCR;2;3;3;c(611005,121939314, 1094210,11418679);611005.000000000000000;1094210.000000000000000;El Hueco;Limon;Limon;Matama;40;Aguas de calidad mala, contaminadas;6;Contaminacion incipiente;36;Aguas de calidad mala, contaminadas;4;Contaminacion incipiente;57;Aguas de calidad mala, contaminadas;6;Contaminacion incipiente;37;Aguas de calidad mala, contaminadas;4;Contaminacion incipiente;MONITOREO ACTIVO;-82.988;9.894;c(-82.988, 9.894)
Bananito;Rio Congria;C-BAN-04;II;2016;2017;UCR;3;3;3;c(615309,394813983, 1089459,64112472);615309.000000000000000;1089460.000000000000000;Hotel El Colono;Limon;Limon;Matama;100;Aguas de calidad regular, contaminacion moderada;9;Contaminacion moderada;45;Aguas de calidad mala, contaminadas;5;Contaminacion incipiente;80;Aguas de calidad regular, contaminacion moderada;6;Contaminacion incipiente;40;Aguas de calidad mala, contaminadas;8;Contaminacion moderada;SUSPENDIDO EL MONITOREO;-82.949;9.851;c(-82.949, 9.851)
Banano;Rio Banano;C-BAN-01;II;2016;2017;UCR;2;2;2;c(600425,516563817, 1096342,99598654);600426.000000000000000;1096343.000000000000000;"Un kilometro aguas abajo de la Bananera Asuncion ""La Bomba""";Limon;Limon;Matama;116;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;129;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;92;Aguas de calidad regular, contaminacion moderada;4;Contaminacion incipiente;113;Aguas de calidad excelente, no contaminadas;3;Sin contaminacion;MONITOREO ACTIVO;-83.084;9.914;c(-83.084, 9.914)
Banano;Rio Banano;C-BANANO-02;II;2016;2017;UCR;2;3;3;c(607646,825918828, 1096504,27314073);607647.000000000000000;1096504.000000000000000;Beverly;Limon;Limon;Matama;94;Aguas de calidad regular, contaminacion moderada;5;Contaminacion incipiente;42;Aguas de calidad mala, contaminadas;3;Sin contaminacion;61;Aguas de calidad regular, contaminacion moderada;4;Contaminacion incipiente;83;Aguas de calidad regular, contaminacion moderada;4;Contaminacion incipiente;MONITOREO ACTIVO;-83.018;9.915;c(-83.018, 9.915)
